"Fahrzeug";"Beleg";"Zeitpunkt";"Buchungsart";"Zahlungsmittel";"Belegtext";"Gesamt";"10%";"20%";"Fahrtkosten";"Trinkgeld";"Umsatz";"Durchläufer";"Taxameterumsatz";"Status";"Bemerkung"
"484 ";" 0837";"22.05.2025 04:15";"Pinpad-Zahlung";"Pinpad VISA 637178-081155";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Exportiert ";""
"484 ";" 0838";"22.05.2025 04:46";"Barbeleg";"  ";"Personenfahrt";"9,10";"0,83";;"8,27";;"9,10";;;"SIGNIERT Gespeichert ";""
"484 ";" 0839";"22.05.2025 05:18";"Pinpad-Zahlung";"Pinpad VISA 290162-132798";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Exportiert ";""
"484 ";" 0840";"22.05.2025 06:30";"Barbeleg";"  ";"Personenfahrt";"12,20";"1,11";;"11,09";;"12,20";;;"SIGNIERT Gespeichert ";""
"484 ";" 0841";"22.05.2025 06:57";"Barbeleg";"  ";"Personenfahrt";"25,00";"2,09";;"20,91";"2,00";"25,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0842";"23.05.2025 00:18";"Barbeleg";"  ";"Personenfahrt";"9,30";"0,85";;"8,45";;"9,30";;;"SIGNIERT Gespeichert ";""
"484 ";" 0843";"23.05.2025 00:29";"Barbeleg";"  ";"Personenfahrt";"15,00";"1,28";;"12,82";"0,90";"15,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0844";"23.05.2025 01:21";"Barbeleg";"  ";"Personenfahrt";"12,00";"1,01";;"10,09";"0,90";"12,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0845";"23.05.2025 01:40";"PaymentService-Zahlung";"APP-PAYMENT 4010V1884488";"Personenfahrt";"9,60";"0,87";;"8,73";;"9,60";;;"SIGNIERT Exportiert ";""
"484 ";" 0846";"23.05.2025 02:48";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0847";"23.05.2025 04:09";"Barbeleg";"  ";"Personenfahrt";"16,10";"1,46";;"14,64";;"16,10";;;"SIGNIERT Gespeichert ";""
"484 ";" 0848";"23.05.2025 04:29";"Barbeleg";"  ";"Personenfahrt";"10,30";"0,94";;"9,36";;"10,30";;;"SIGNIERT Gespeichert ";""
"484 ";" 0849";"23.05.2025 05:29";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0850";"23.05.2025 06:18";"Pinpad-Zahlung";"Pinpad MASTERCARD 403194-06421Z";"Personenfahrt";"45,00";"3,82";;"38,18";"3,00";"45,00";;;"SIGNIERT Exportiert ";""
"484 ";" 0851";"23.05.2025 06:41";"Barbeleg";"  ";"Personenfahrt";"9,00";"0,82";;"8,18";;"9,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0852";"23.05.2025 07:17";"Barbeleg";"  ";"Personenfahrt";"10,60";"0,96";;"9,64";;"10,60";;;"SIGNIERT Gespeichert ";""
"484 ";" 0853";"24.05.2025 01:32";"Barbeleg";"  ";"Personenfahrt";"10,50";"0,95";;"9,55";;"10,50";;;"SIGNIERT Gespeichert ";""
"484 ";" 0854";"24.05.2025 01:44";"Barbeleg";"  ";"Personenfahrt";"9,70";"0,88";;"8,82";;"9,70";;;"SIGNIERT Gespeichert ";""
"484 ";" 0855";"24.05.2025 03:24";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0856";"24.05.2025 04:28";"Barbeleg";"  ";"Personenfahrt";"27,10";"2,46";;"24,64";;"27,10";;;"SIGNIERT Gespeichert ";""
"484 ";" 0857";"24.05.2025 05:54";"Barbeleg";"  ";"Personenfahrt";"31,90";"2,90";;"29,00";;"31,90";;;"SIGNIERT Gespeichert ";""
